#30.01.2023
#Porównanie wyników dla modelu centralnego spinu:
#wyniki Jakuba Korsaka
#https://github.com/korsakjakub/cs_q_sim/blob/main/outputs/2023-01-30T10:51:21%2B01:00
#a wyniki z programu Jacka Dobrzynieckiego.
#
#Badany układ:
#H = B \sum_{k=1}^N S^k_z  +  B_0 S^0_z  +  \sum_{k=1}^N C_k [ S^0_+ S^k_-   +   H.c. ]
#Parametry hamiltonianu:
#Pole magnetyczne B = 1000
#Pole magnetyczne B_0 = 1002
#Parametry oddziaływań: (przyjmując numerację spinów środowiskowych od 0 do 7)
#C_0 = 22.46935609503098
#C_1 = -44.93871218982019
#C_2 = 22.46935609503098
#C_3 = 89.87742437988217
#C_4 = 22.46935609503098
#C_5 = -44.93871218982019
#C_6 = 22.46935609503098
#C_7 = 89.87742437988217
#Jednostki energii = h x Hz
#Stan początkowy: spin centralny - dół, spiny środowiskowe - uuuudddd
#
#Kolumny z danymi:
#time[JK][seconds/2π]	czas (wartości "x") z pliku z wynikami J. Korsaka [w sekundach/2π]
#central_spin[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka
#time[JK][seconds]	czas (wartości "x") z pliku z wynikami J. Korsaka [przeliczony na jednostki sekund]
#central_spin_modified[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka, zmodyfikowany przez dodanie wartości ~0.164
#time[JD][seconds]	czas wg wyników Jacka Dobrzynieckiego
#central_spin[JD]	central spin wg wyników Jacka Dobrzynieckiego
#
#
#time[JK][seconds/2π]	central_spin[JK]	time[JK][seconds]	central_spin_modified[JK]	time[JD][seconds]	central_spin[JD]
0.083	-0.205861024845636	0.0132098602766273	-0.0416597693972615	0.013209865	-0.05132
0.084	-0.205315620949437	0.0133690152197192	-0.0411143655010623	0.01336902	-0.05102
0.085	-0.205005939060354	0.0135281701628111	-0.040804683611979	0.013528175	-0.0515
0.086	-0.20510063511047	0.013687325105903	-0.0408993796620947	0.01368733	-0.05287
0.087	-0.20575217314991	0.0138464800489949	-0.0415509177015354	0.013846485	-0.05516
0.088	-0.207091433609104	0.0140056349920868	-0.0428901781607289	0.01400564	-0.05832
0.089	-0.20922221067698	0.0141647899351787	-0.0450209552286051	0.014164795	-0.06227
0.09	-0.212215401786225	0.0143239448782706	-0.0480141463378503	0.01432395	-0.06687
0.091	-0.21610311029803	0.0144830998213625	-0.0519018548496553	0.014483105	-0.072
0.092	-0.220873405490931	0.0146422547644544	-0.0566721500425564	0.01464226	-0.07753
0.093	-0.226466965646295	0.0148014097075463	-0.0622657101979199	0.014801415	-0.08333
0.094	-0.232777105370285	0.0149605646506382	-0.0685758499219096	0.01496057	-0.08931
0.095	-0.239654613786898	0.0151197195937301	-0.0754533583385228	0.015119725	-0.0954
0.096	-0.246918324278211	0.015278874536822	-0.0827170688298357	0.01527888	-0.10156
0.097	-0.254371410485933	0.0154380294799138	-0.0901701550375585	0.015438035	-0.10775
0.098	-0.261822175502101	0.0155971844230057	-0.0976209200537262	0.01559719	-0.11397
0.099	-0.269106787551745	0.0157563393660976	-0.10490553210337	0.015756345	-0.12022
0.1	-0.27611029751138	0.0159154943091895	-0.111909042063005	0.0159155	-0.1265
0.101	-0.282781646844401	0.0160746492522814	-0.118580391396026	0.016074655	-0.13283
0.102	-0.289138486457175	0.0162338041953733	-0.1249372310088	0.01623381	-0.13924
0.103	-0.295258616138758	0.0163929591384652	-0.131057360690383	0.016392965	-0.14575
0.104	-0.301256703271996	0.0165521140815571	-0.137055447823621	0.01655212	-0.15234
0.105	-0.307247453321983	0.016711269024649	-0.143046197873608	0.016711275	-0.15899
0.106	-0.313299221324755	0.0168704239677409	-0.14909796587638	0.01687043	-0.16557
0.107	-0.319384689850412	0.0170295789108328	-0.155183434402037	0.017029585	-0.1719
0.108	-0.325337164984826	0.0171887338539247	-0.161135909536451	0.01718874	-0.17768
